,wall,building,sky,floor,tree,ceiling,road,bed ,windowpane,grass,cabinet,sidewalk,person,earth,door,table,mountain,plant,curtain,chair,car,water,painting,sofa,shelf,house,sea,mirror,rug,field,armchair,seat,fence,desk,rock,wardrobe,lamp,bathtub,railing,cushion,base,box,column,signboard,chest of drawers,counter,sand,sink,skyscraper,fireplace,refrigerator,grandstand,path,stairs,runway,case,pool table,pillow,screen door,stairway,river,bridge,bookcase,blind,coffee table,toilet,flower,book,hill,bench,countertop,stove,palm,kitchen island,computer,swivel chair,boat,bar,arcade machine,hovel,bus,towel,light,truck,tower,chandelier,awning,streetlight,booth,television receiver,airplane,dirt track,apparel,pole,land,bannister,escalator,ottoman,bottle,buffet,poster,stage,van,ship,fountain,conveyer belt,canopy,washer,plaything,swimming pool,stool,barrel,basket,waterfall,tent,bag,minibike,cradle,oven,ball,food,step,tank,trade name,microwave,pot,animal,bicycle,lake,dishwasher,screen,blanket,sculpture,hood,sconce,vase,traffic light,tray,ashcan,fan,pier,crt screen,plate,monitor,bulletin board,shower,radiator,glass,clock,flag
wall,1.0,0.5401940648237562,0.07799529869961663,0.0,0.20158365712872633,0.36723393682227784,0.27390306135003534,0.26894578098001537,0.12756261611446854,0.17065477517183955,0.2554656098106129,0.24930808820950898,0.13488872680833763,0.10720167867433356,0.4552728094178787,0.2132076899236623,0.2224263652044464,0.21611961722373962,0.3774730350572345,0.24344888332706038,0.1995721825691141,0.08418468912641568,0.24951910430158794,0.2527608985387081,0.2556447791859954,0.474010169506073,0.21426153684554375,0.2636916988776145,0.0,0.0,0.156356436533307,0.0,0.4732449694924441,0.2908683447855272,0.3273356559172934,0.14924099684848569,0.2668641436828134,0.22061335922593683,0.4652977589120325,0.20294896804672752,0.0,0.0,0.0,0.2686121381800583,0.3377355767555496,0.25879380785562234,0.0,0.0,0.2827616035938263,0.41346418727891565,0.25444034842729035,0.026764618818426122,0.0,0.0,0.09272468549441816,0.1302365603950414,0.06432771622779093,0.0,0.5199048144259525,0.45402355256102855,0.16541823159766822,0.48590386921088824,0.24357304110807268,0.23041610182637287,0.06154385404204686,0.3788669613576525,0.18932280525786954,0.12046193213246519,0.2883588888994916,0.23804899480984654,0.2078216104831791,0.23832500938407175,0.058249328648516424,0.2944901346113096,0.14946362372269353,0.3063734321726842,0.1928280935353248,0.32082176021388265,0.17721799484382478,0.1601865142583847,0.12732274683387468,0.3017279409921618,0.17533666806089326,0.19658216985619417,0.5854334520907237,0.0,0.2526628787638415,0.13139459104165965,0.2003185627080446,0.15546933148047673,0.16674878394115544,0.11796604482964354,0.10932032718255,0.2423465159967322,0.027460040687048576,0.1319786494986774,0.0,0.18629743538603885,0.16044446958092048,0.11683602268939108,0.26226677163099166,0.1512700132174932,0.02230825730514543,0.15910824774542576,0.48288590591363467,0.09748642931533905,0.36408526305988215,0.11289404112058506,0.024502765387296677,0.0,0.24101716160588932,0.20582273505501888,0.0,0.30361317402456317,0.3966117203235626,0.0,0.0,0.23110141639328194,0.21810320171672945,0.19094965913351375,0.16372970549547963,0.11510948022116062,0.2576562496893516,0.02611836794901985,0.07179857350685238,0.15000174793115809,0.1544915025358457,0.14061435949351025,0.19111172613251762,0.22508971084140736,0.3655112211127638,0.1827646738149467,0.2508645215419154,0.22361007541979566,0.41963082551956177,0.261111917964356,0.22408787812044767,0.22687242383047562,0.0,0.0,0.17016125669741472,0.0,0.34557816968062366,0.17157586795873164,0.07886653779444937,0.0,0.3538406354694409,0.4437702498852841,0.2622888499270398,0.17052826799156579
building,0.5401940648237562,1.0,0.0,0.45037603013890753,0.271766180915182,0.335370123202805,0.4052053391933441,0.2297187849626132,0.009161362909826746,0.19476559768592527,0.23290868168498163,0.3368617653656341,0.0,0.22668233498389714,0.3688049037223775,0.06648538837292142,0.17832401808281684,0.44115482436907044,0.22415479540044025,0.20448121260262614,0.2764502410675359,0.21894321386242196,0.3089110205202569,0.14525503479785082,0.18758638238755945,0.8589893979551297,0.19015183858428467,0.15704309781879425,0.13689070481432056,0.11520573088645536,0.05776384018627788,0.07847487919458777,0.43762460350990295,0.23925851555716945,0.22223578166086846,0.1547550347345031,0.1707740338982204,0.14792044563582996,0.35607558488845825,0.06344135480574946,0.3209018189682527,0.2507815486154909,0.02047949050046573,0.3152199983596802,0.15824549831232673,0.20842978059669112,0.060555403228047415,0.1850333589462402,0.7179077058800113,0.34833533723103527,0.13988517024722794,0.0,0.04023091032402438,0.3962437281998253,0.17852146366926785,0.06370266630918969,0.0,0.0705632680385875,0.3906796662322175,0.39131084084510803,0.11962850480711361,0.9996163845062256,0.20339772913534324,0.10286642634862878,0.0,0.2715526223182678,0.10712388448612514,0.2059087820954527,0.22963586148724918,0.25567677915011155,0.13360709737369586,0.21038344054491329,0.0,0.25089291278907483,0.26421644257846927,0.2046449993885887,0.2703439770898929,0.29738858342170715,0.282606234835591,0.1832998834352816,0.24355057024483462,0.0,0.19081011434228856,0.2774014107589167,1.0,0.18195233125300955,0.18832569862736118,0.13223961606247114,0.2570746323960301,0.11932271950371538,0.25107780867915463,0.0,0.13407850687546974,0.2404354956519367,0.0,0.05458600535268346,0.032232871926161186,0.06694322712058144,0.12454067420029878,0.12400843559535853,0.12893237839908128,0.08878431937205207,0.0,0.24664086561325413,0.6585139632225037,0.07239682721137378,0.2771749794483185,0.12014892494917123,0.0,0.37667787529511043,0.13086988048303888,0.1473424958103172,0.11012842949580176,0.17653442409286677,0.3921097964435919,0.1047594565836885,0.0,0.08654012390583843,0.13634351997081143,0.1718736025234362,0.24129825124696647,0.1960548186560456,0.24735458475472874,0.0,0.07507441284345596,0.11188778050095419,0.0,0.24886232481149181,0.22607990507973103,0.13714832000303748,0.19074377417564392,0.1289698276422018,0.0,0.13921590441955292,0.08208353063212522,0.08978356303275001,0.24590835618086046,0.07200426192959503,0.0,0.1318840237155255,0.3169437075164287,0.15431995480492788,0.14456057302619052,0.15987357764261925,0.16354268551473586,0.1780390951929683,0.18122999385135846,0.2611992180442034,0.20274561278589467,0.18940587039212378
sky,0.07799529869961663,0.0,1.0,0.06954974306755167,0.20931901872683853,0.16848098139045348,0.0,0.1541552479000191,0.09066344291585669,0.2472038214882655,0.027022149090190795,0.14076926627749248,0.0,0.2515263038442334,0.14210369966788175,0.06911134350812492,0.20820823257404486,0.042511969982034464,0.18478336075791776,0.1147506740242194,0.1478692414541645,0.34611533710086856,0.16031930085775592,0.11886890308156871,0.07160124242834054,0.07283499610461174,0.4013201959324382,0.16944752075956104,0.04451243902297393,0.06372157701107121,0.10671042740236435,0.04411349555991704,0.13186284808633944,0.12233298236335415,0.1603744494013005,0.06572079346222981,0.13655129925930823,0.07979705228593939,0.11298138260280274,0.07104564243440252,0.04918336373017958,0.050500573933172824,0.015056743217637171,0.0,0.0772425606230491,0.08970037090793767,0.16481948433283283,0.05103286379112199,0.0787114779571543,0.14467360312327493,0.08369124585201093,0.0,0.04413274695559642,0.0741271932915144,0.1299390019010611,0.030132610778471024,0.0,0.058902443762015005,0.19104256377142217,0.0,0.17712959735643424,0.0,0.05803189225548225,0.1913411573071945,0.0,0.08045471607786293,0.22965713626593462,0.09797089504511886,0.18393147910191368,0.08360694442274055,0.03111638758030639,0.11657716527572366,0.0,0.16888309294343154,0.0879111242257893,0.13771792857624207,0.18460365317266836,0.10189353388955474,0.09149076650939862,0.028812399919560673,0.09708855415343043,0.0,0.3260072092366748,0.1286523983201669,0.0,0.057481276563901035,0.12145711514816396,0.15744105548635387,0.10565991146766181,0.10242560347893455,0.24469570585477765,0.0,0.047928887218664194,0.12062428961675972,0.0,0.055505955575966846,0.026151580951209882,0.0716641581972717,0.08262096216247332,0.09086635809090136,0.1648159290450416,0.05666786414879982,0.0,0.1737575332952072,0.0,0.1211617473941378,0.0,0.08962901023883771,0.02590980525445444,0.07944377197218726,0.07271369988318245,0.11186395576989311,0.039826590392220154,0.2962434803943608,0.06919563965452794,0.04234934473495245,0.0,0.10814198413937626,0.10867811503612737,0.11583269837910068,0.16111355059264698,0.09246042356024123,0.11806699773101434,0.0,0.08974477600378675,0.07994651720367286,0.0,0.0937339669890604,0.3309515870785796,0.07406498324656637,0.0,0.14029267463333542,0.0,0.16232646288479793,0.05321977768231086,0.1394615095818926,0.37639910819730554,0.06760780020524197,0.0,0.040907381585855086,0.1295374377165844,0.06989844904079826,0.11027787022950937,0.1449054134513679,0.09125292493004483,0.06394057827349112,0.06671380191966612,0.324461414958945,0.1438130267591112,0.1445591644227129
floor,0.0,0.45037603013890753,0.06954974306755167,1.0,0.15033718230336673,0.5454002762734662,0.25669832206995,0.3989974139303587,0.07378660731264952,0.1882121335254323,0.22625403515398793,0.25951126441681854,0.17911649166935034,0.08899079783335893,0.3866057205104699,0.24300617751704742,0.17491987228150233,0.0,0.3149330043781154,0.35390844675883687,0.22486608171774494,0.08839518488580546,0.18748286915361,0.3403989683709519,0.2258965494402773,0.0,0.22338328948688818,0.2140391448207561,0.0,0.0,0.1784728620048299,0.0,0.21215312728449334,0.35848616343558154,0.2510023985615289,0.1844825640665863,0.1829489930066204,0.25413692561352047,0.24776424911092568,0.1967202336485663,0.0,0.0,0.0,0.07358341279931678,0.3604232681266238,0.2514137364527215,0.0,0.0,0.0,0.35518799217751057,0.2664528727016133,0.03309373369190313,0.0,0.0,0.12240342431417012,0.09951369453824292,0.07553464011057179,0.0,0.4555722281518067,0.4623101756147669,0.1573955485976893,0.2425522510184563,0.20976969436363846,0.15066925289212557,0.07092945899010142,0.28478844261490305,0.12138833803098692,0.10578704682146585,0.23398473625242847,0.321544377796343,0.3228038786403846,0.27022783316586324,0.057190503909672584,0.28111586104220604,0.1397525235198951,0.4176581205996338,0.20278398619787763,0.24557736224619042,0.19018719367349574,0.0,0.134361329336282,0.30056613837745966,0.15121381856061378,0.22138445417636024,0.3631222968482451,0.0,0.2115481787990092,0.07696632539644235,0.258498363023554,0.11089477204718891,0.15650963612514784,0.12286202141406878,0.0883229416002242,0.1839508692299945,0.03399793451725124,0.14678735393450504,0.0,0.17549899944254746,0.13904846780737326,0.1714027573481541,0.1743207443268917,0.16908626984153913,0.02329036784131855,0.15014472010321714,0.28781252538377144,0.09950377463293962,0.29448292567191375,0.12426133720071479,0.020452816039323807,0.0,0.26769483471798394,0.15439257097284523,0.0,0.2271121608558605,0.0,0.0,0.0,0.14158209086003873,0.2224651656396549,0.1821788111254025,0.1975905615975216,0.1177486146665426,0.2393627606604394,0.019883064199145314,0.07761371007382067,0.10822259951026714,0.11390199963187522,0.10685901188036678,0.22110717094874943,0.2653278020996565,0.3806664074130598,0.15380980012375695,0.15642911209426283,0.18834583103110197,0.13745461233745085,0.1527402655025091,0.19453370572695985,0.2004060171967056,0.0,0.0,0.3893776334456046,0.32560586416151893,0.23674174413317556,0.12457055977247228,0.0793155385907293,0.0,0.3658285141750263,0.3774429140709406,0.19426561117382568,0.08249325638392827
tree,0.20158365712872633,0.271766180915182,0.20931901872683853,0.15033718230336673,1.0,0.037095828002586,0.23777488021158197,0.012384908422143381,0.011141727763628512,0.44602863560709854,0.024865810201277237,0.04741640102985585,0.2238134320378376,0.05178364800557763,0.0,0.23910586971218237,0.3244543420169639,0.2672058222601611,0.04975413151826453,0.0,0.011015117314190977,0.031107387167753617,0.042924808110627995,0.0,0.034910359393940084,0.2043164420241802,0.24850704608140406,0.03387265722960975,0.12904223059559727,0.12613795031651026,0.005473692007988794,0.06461901787052465,0.06390360152690115,0.0,0.23549944482704432,0.0246035750887353,0.03906903173393129,0.01891309399429697,0.0398495548453154,0.023607131929414125,0.15278152864864383,0.18884560997148858,0.0362147754600764,0.10985029069958054,0.0848263902482789,0.0,0.10902026353058236,0.0914435803326233,0.12355942762503234,0.0,0.033248968238942724,0.03156903716857916,0.0885470271334903,0.16056788870411223,0.02443669589629883,0.13611548407674315,0.19910113580716177,0.1295678236873961,0.014585714296351734,0.18520853665023937,0.23494824358725933,0.2444084495693347,0.03271023113504441,0.17777419012734244,0.19907178992365632,0.02788343023235433,0.44315754085004994,0.0,0.3448956626410948,0.0,0.01010234803964041,0.03919690568968494,0.2635859002988662,0.30588732730740764,0.027040400975347868,0.012125960893327964,0.012046438776069866,0.030929979886890814,0.028015694810538234,0.05533286138679566,0.027653622094706967,0.15687872524781343,0.0027732544299869564,0.01244488363355477,0.267265375106002,0.14203302601774187,0.0,0.0,0.0,0.006281649059444751,0.050171825952826356,0.15785264844312966,0.02476649819546669,0.049264787308476506,0.1737554507938687,0.057050562823422434,0.0276836799349856,0.052509226419985636,0.033245175878967026,0.019847843484624466,0.14704557254672546,0.1254943447684936,0.07057586321323563,0.009392666346930824,0.22676256774402376,0.0007027937540423293,0.3568097471148763,0.06730489920508,0.06672081034527784,0.17007717799491337,0.0,0.0,0.19507398783660515,0.2827459869829106,0.16597572243235423,0.1382212068456537,0.0008075401311733015,0.0,0.028507391555366232,0.034169793766251094,0.2051609297749795,0.0009927470670263673,0.0108800290937412,0.15412629988252124,0.0,0.03567626571954885,0.36617389878362505,0.033349344345335076,0.2902885749040986,0.021441650841458097,0.1531539159207793,0.03532761777497248,0.20494731783607284,0.08013389200412012,0.031103805278601064,0.0,0.03341641072930374,0.032915450651459455,0.0,0.09453621456918772,0.030886751064443788,0.11097790128840289,0.007714157117621855,0.03849234610742547,0.0,0.12953887254997987,0.10631855185467452,0.2397357606661956,0.01127271957887439,0.0489358609189012
ceiling,0.36723393682227784,0.335370123202805,0.16848098139045348,0.5454002762734662,0.037095828002586,1.0,0.1269642510782158,0.18055138441484406,0.0,0.07141415045109027,0.0,0.0,0.1320852678607331,0.0,0.13134450773596565,0.25073633744330137,0.17323744834925525,0.08145383863167069,0.0,0.10101825743365411,0.11353590323737368,0.0,0.0,0.11152724035576599,0.0,0.23825222248144504,0.17439124737687633,0.0,0.186165811535629,0.024870157075254497,0.1178374752421425,0.05643052915623805,0.0,0.11435096983316881,0.17929269333512593,0.0,0.0,0.0,0.0,0.0,0.18528157544084542,0.16911176836882083,0.00967534306885311,0.13814271608856318,0.2750632130640718,0.08572162655630311,0.026666848177839885,0.2670396797522236,0.1400995200372335,0.16452622178414303,0.2175357834505682,0.08248359643773695,0.00909923147919754,0.2935018054037393,0.0,0.103516042853041,0.17415357792734376,0.1610936465762779,0.26573367201029113,0.45776045464659326,0.1134091477482898,0.24232115460689027,0.0,0.19627125922760089,0.16331771329202388,0.0,0.06695517094460869,0.02243590290262375,0.17874081988467314,0.08846065376582884,0.0,0.24249208256540639,0.09426395053871937,0.26200930920457194,0.0,0.2124285869499432,0.11288557873538657,0.0,0.0,0.07858171815904844,0.0,0.27651136608731447,0.07728856806915663,0.0983343006853552,0.3637649581210674,0.3123732598118635,0.10831506078719892,0.0669146442741519,0.0660624411234031,0.1030637759949838,0.1444046437797673,0.10768165770405463,0.0,0.0,0.04564182883058806,0.11952463504399292,0.015375653713744459,0.11240089917168412,0.0,0.0,0.18537710085052717,0.123308449772167,0.03434555350442791,0.08679340352189573,0.30789094981023973,0.025478458675200814,0.40325778223866,0.0,0.0,0.24602030267638036,0.07635839652342051,0.07430991537126341,0.13272046517125546,0.2780856313376031,0.17945490584097687,0.09701401645399736,0.0,0.052297194212128355,0.18563689551657878,0.0,0.1268682082369275,0.024705853076321605,0.12412017884203844,0.02762994769526451,0.009546083695121908,0.0,0.07455586765416078,0.0,0.1526599516726608,0.20450126711388578,0.34518370032310486,0.0,0.23680755757357055,0.14197236697140336,0.0,0.09084371740681779,0.1384257708443214,0.0,0.0,0.1606265613980633,0.0,0.2959363015768145,0.1371316036189816,0.0869036571579867,0.004856235978623865,0.25582778722812255,0.39674218142492096,0.41292787177690127,0.15659462182776776,0.0
road,0.27390306135003534,0.4052053391933441,0.0,0.25669832206995,0.23777488021158197,0.1269642510782158,1.0,0.2264997108380172,0.0,0.24880297725020856,0.09373561444318051,0.4760770797729492,0.0,0.2047386216384544,0.27681749715054754,0.04415210370385988,0.3338607372379752,0.21944697204156247,0.17342199976256095,0.13966798383207119,0.44467402303303016,0.20525420205663003,0.17631281074029415,0.09612233095169241,0.13556638686893668,0.3499911653981167,0.24196709940538416,0.195067460919308,0.10185048135630798,0.12502022241795505,0.05181315691206265,0.1261752317847076,0.34202362605528225,0.14598987371586403,0.31705041270460715,0.1198612546515996,0.12409693516693823,0.06568805164320292,0.17876151201847265,0.12877126464253055,0.23960323674974532,0.17835380180417312,0.015296297936506512,0.20295947790145874,0.07210015002784276,0.11044024575202452,0.08323674972248953,0.1415117453905515,0.12609048731035616,0.09631588310367555,0.05204692268023199,0.0,0.06365002662753688,0.43819914253759074,0.2694491380293336,0.06023723829659191,0.0,0.10615144423042393,0.2989139119749776,0.5398545265197754,0.20713995064319482,0.5172287225723267,0.051285771278646294,0.16854975458818033,0.0,0.21055586384157518,0.13710770287160057,0.20582076103549138,0.4023873148938104,0.19271064190024903,0.04186948707047045,0.13763791990232876,0.0,0.23391475778129267,0.1672541229735644,0.1571371958507263,0.30948317325189706,0.20470993995259237,0.20272145356849713,0.10632973020555941,0.4421123663520055,0.0,0.20386746196034042,0.4262971531897134,0.2887875735759735,0.022896573730098194,0.13712864502832078,0.16211368870881432,0.17963878955835605,0.1504030511656518,0.23538427462016262,0.0,0.16981019692304766,0.2639929557725506,0.0,0.05081034580631921,0.0328806906461672,0.0,0.11369847998027736,0.10922646210499412,0.08637285758590531,0.08796242433714085,0.0,0.15771148422442954,0.20610038936138153,0.14291369730225856,0.21797198057174683,0.07838815656355899,0.0,0.26645031787646856,0.11161059250212016,0.1547473383129496,0.14238510886953107,0.21338158720523953,0.24503495059865354,0.19553907325770087,0.053171794516290054,0.12521176084502522,0.0971069373219806,0.23178728592361056,0.20796664209275195,0.16588309500872875,0.18952344007521188,0.0,0.03189287800570238,0.16519665524556532,0.0,0.4455589225531436,0.3155066308901007,0.06749744811204494,0.15357360243797302,0.136217439815832,0.0,0.15158529438566098,0.0,0.01849293751104724,0.2842453049579492,0.06054225101180575,0.0,0.15205347835179944,0.27500225734341294,0.13152991913188997,0.21241232701555582,0.11792072331394098,0.09981265526808197,0.15119858077214746,0.12705625838650242,0.14641743735040152,0.15352258738071756,0.18620418933365387
bed ,0.26894578098001537,0.2297187849626132,0.1541552479000191,0.3989974139303587,0.012384908422143381,0.18055138441484406,0.2264997108380172,1.0,0.06277273294514712,0.0,0.27995625138282776,0.1208369702470539,0.2504369888880973,0.09453714603703278,0.045477043776205546,0.28302954384653173,0.21102435515548446,0.16321618505503413,0.35858461133740316,0.40924510927955693,0.0,0.09313158874518516,0.11610386064578775,0.5634836851525225,0.2106961232360126,0.36890461743973046,0.26777945902742084,0.22589749433564962,0.36908840108529106,0.0798806855719113,0.0,0.19853504339786077,0.14133078073053948,0.37975422981095874,0.20240281857037648,0.3893710672855377,0.19760121166356198,0.309916590697708,0.14892827071174705,0.25277370189943826,0.17937678761329315,0.24072607064848,0.05223984920895819,0.0,0.06686046647911156,0.21651620884008216,0.12831366029239674,0.2895626220792495,0.05252936787946439,0.046715733853454795,0.012697631489999988,0.034872923315920464,0.05191525859102602,0.34330869325585384,0.052342073838808956,0.12150279103984898,0.17154876315867165,0.4341697618349478,0.0,0.2602126273295744,0.1929526626056687,0.19527422397279812,0.41789549589157104,0.17532919470804867,0.17154876315867165,0.23291228204300166,0.0,0.023035629428576516,0.23187861437695895,0.2628981443289846,0.09715699741274336,0.013040117842487911,0.13961258994853734,0.1469930065989524,0.15206101726689442,0.0,0.0,0.14687020441307494,0.1354973431026756,0.1372958314604785,0.17761183617948018,0.35487152121237936,0.0,0.0,0.20458607751591928,0.16599383157092742,0.028067371838019217,0.011760767876652978,0.18447996253624666,0.0,0.01790194395297317,0.07111458382563399,0.05985843536867417,0.14437158626231317,0.13073007831344788,0.014849916691412552,0.03530205603727487,0.005203468213515949,0.17870442623847047,0.3307770788669586,0.14125020523857212,0.15904359222448697,0.08291941866548629,0.0,0.1732782503319452,0.0,0.29660719518996814,0.11250404825680645,0.08686715470493074,0.22276193594263224,0.32288102857745715,0.01840105497883471,0.2375304472348218,0.18659551378702602,0.2825267801269951,0.2671655382763411,0.0,0.2921387601954888,0.010421598661191455,0.14986242138625733,0.2185885173115853,0.0,0.0,0.0629400691226511,0.0027827190838947084,0.1748839829183414,0.19165711971290578,0.12082838264213488,0.2564916919283112,0.009835864542517286,0.19889200503429,0.23002281860493756,0.10366101623503311,0.0033409423821272196,0.08438559232936745,0.04762221077946411,0.000523336676959685,0.20826238192864865,0.0,0.18686240398458356,0.12122312240917577,0.13827872339831707,0.0,0.0,0.0007241962403318373,0.37439029982902694,0.2395234199267219,0.24453180918684164,0.0,0.057742834750219275
windowpane,0.12756261611446854,0.009161362909826746,0.09066344291585669,0.07378660731264952,0.011141727763628512,0.0,0.0,0.06277273294514712,1.0,0.046899450308657276,0.0,0.0,0.0,0.0,0.05313828804235582,0.06386262397713276,0.02778331526483165,0.0018012881992359958,0.0,0.01212830016525349,0.024394819295214417,0.0,0.0,0.05047490502994355,0.0,0.029193840569158986,0.08326399446388114,0.0,0.14776753330688783,0.009513435487979179,0.09380971297569364,0.012000071491666315,0.0,0.01968619678604192,0.029761998569861715,0.0,0.0,0.0,0.0,0.0,0.015999936195459277,0.04891035653011852,0.0004367432424019506,0.15176926805792096,0.1382404947838422,0.03823074318236994,0.013792400770064111,0.089253061637873,0.05864573274575589,0.04334236063856416,0.07931878244377938,0.05630617200489967,0.0004936916767495484,0.050118197760420924,0.0,0.0,0.036473698477500566,0.10510532566640868,0.11087575879475432,0.13748615934340697,0.008380804873460284,0.0,0.0,0.09470415932996662,0.044119219135282293,0.0,0.046982729702658606,0.0,0.028698143512649574,0.022467641048685552,0.0,0.07898533648631999,0.03948560928981859,0.0663196920513933,0.0,0.0335561583244242,0.014842299471913494,0.0,0.0,0.15409504623654852,0.0,0.16872715520895737,0.026871544784605437,0.015656783138326295,0.0406559622395777,0.12409531273263394,0.09336826687230314,0.07886530291443046,0.022120818919286304,0.0,0.02115140422406681,0.020025372779036547,0.0,0.0,0.0,0.07484866500619672,0.0023382512958441994,0.08806537702749118,0.0,0.0,0.006492254098270003,0.021695393421801854,0.0035261817702698455,0.0,0.04178154226671089,0.019355784518260418,0.1506419673102609,0.0,0.12317815314911104,0.0,0.046476034342113844,0.006838391201587865,0.04682304199525276,0.11213717797707054,0.08095071263790901,0.06418526849342554,0.08163125455724486,0.02376353650170054,0.07378981742920661,0.0,0.0,0.007615725260707373,0.041206160385612485,0.0,0.0012086651263905053,0.0,0.01327717741598139,0.0,0.00945004460514874,0.059363078825434866,0.14799826357616078,0.0,0.0,0.09879827370812419,0.0,0.04965888763106388,0.043657799012763364,0.0,0.0,0.0,0.0,0.10778077857716992,0.06492421224988064,0.015703119478921865,0.0,0.06728682039046249,0.16532396676896122,0.19721087689029052,0.04036541142740957,0.0
grass,0.17065477517183955,0.19476559768592527,0.2472038214882655,0.1882121335254323,0.44602863560709854,0.07141415045109027,0.24880297725020856,0.0,0.046899450308657276,1.0,0.02242461013226207,0.14756471818784853,0.13168144565660084,0.1203878609265862,0.010785858733511343,0.16305569857688224,0.27599637767771834,0.2947982170585114,0.0916150424259138,0.011078927677889965,0.0,0.12762888486491936,0.09553786047200212,0.010042724327170557,0.05708884311396975,0.19297630460467263,0.2689019743020757,0.039128073581761555,0.20244671213309726,0.19647751465810498,0.0,0.10358808073620267,0.18194922051616164,0.00791842968447286,0.24569074156016452,0.031112318016363997,0.06399490513479064,0.06479196427983065,0.10272431898086753,0.08741312579699721,0.152122598401741,0.11910732067967526,0.02757940996081888,0.05606677606422694,0.014209589480686534,0.007749651728025592,0.2278691002829855,0.1144256773157204,0.10629856706071154,0.01085055822476513,0.0018684689107982522,0.11268417264266122,0.10922096324990954,0.18538959869985025,0.10076211928624564,0.0675665324165021,0.16526197203883797,0.15788797241678912,0.0,0.1425035491511552,0.2359084782229352,0.13503600601800272,0.02614791243838956,0.1801835975961374,0.1615499513452397,0.0895707504645218,0.0,0.003111167707039116,0.2988329729418753,0.010728485733111118,0.06782257326759356,0.00262091850390452,0.27013780831689804,0.25241272972052686,0.025769623237973396,0.0,0.0,0.057684269504408144,0.06548998902851041,0.10611982368242098,0.044494235276856774,0.16402832288851257,0.0,0.0,0.15932072134728512,0.0746085766122348,0.010071249560779767,0.008882762002015562,0.007231678733430176,0.0,0.0031371865055146433,0.23472334812781182,0.0483109728141551,0.10343528019876387,0.20972630089707273,0.025257661390877505,0.04441451127770561,0.009939566519460614,0.0633314334468911,0.05917334612061164,0.08917216589821281,0.13162591251060435,0.06418289527852193,0.0,0.2550864725852382,0.0,0.27463904570529746,0.106257644782412,0.04633328294503843,0.24483059166772803,0.01148492114186291,0.00895290199628042,0.16807283168146167,0.24775308223380815,0.1926785265196563,0.15946163419788792,0.0003617400204364621,0.006907197717210947,0.0020818366246066126,0.10896314960084058,0.2644781055190209,0.0,0.0,0.07009672234150213,0.0009722722764049672,0.11002727352209911,0.35771964189685085,0.08705652878859836,0.29316746046022735,0.0014427808137389964,0.11402068557129594,0.10343715254582468,0.15643173149243333,0.012228435560604677,0.02598113357499244,0.010508288007281241,0.0007536469070725609,0.07306700236608303,0.0,0.08245827547445057,0.0800147165995935,0.0873550409554536,0.0,0.0,0.0005748202000241547,0.12807793549441324,0.07100932007147603,0.1961310912013267,0.0,0.0951228202026732
